Day,Mean,Median,Std,Variance,Minimum,Maximum
1,0.0056832824,0.0,0.22409008,0.050216366,0.0,12.768674
2,0.10377591,0.0,0.9124447,0.83255535,0.0,32.774227
3,0.16331857,0.0,1.2782587,1.6339452,0.0,31.725138
4,0.6782392,0.0,3.414197,11.65674,0.0,29.400002
5,0.46367493,0.0,2.4896734,6.1984735,0.0,22.9
6,0.3284874,0.0,1.8132921,3.2880282,0.0,24.043333
7,1.9452391,0.0,7.911825,62.59698,0.0,184.02374
8,1.0711094,0.0,4.04846,16.39003,0.0,54.29839
9,0.06021109,0.0,0.37243757,0.13870974,0.0,8.865807
10,0.24068825,0.0,1.1393603,1.298142,0.0,19.364395
11,0.1912084,0.0,0.9391347,0.88197404,0.0,17.011435
12,0.04006971,0.0,0.29052442,0.08440444,0.0,6.08044
13,0.0019540233,0.0,0.03344358,0.0011184731,0.0,0.8300129
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.057118528,0.0,0.39161,0.15335838,0.0,4.0
16,0.7384543,0.0,3.214658,10.334026,0.0,45.63664
17,0.46481946,0.0,2.1086223,4.4462876,0.0,32.952717
18,0.43316197,0.0,2.2433236,5.0325007,0.0,32.662968
19,0.06742278,0.0,0.374987,0.14061525,0.0,7.5999994
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.19106765,0.0,2.696495,7.2710853,0.0,103.60258
22,0.6015504,0.0,3.7074313,13.745048,0.0,94.617966
23,0.027010264,0.0,0.18362229,0.033717144,0.0,5.44088
24,0.29857266,0.0,1.6552597,2.7398849,0.0,25.031956
25,1.5247511,0.0,6.7125406,45.058205,0.0,84.09131
26,3.1768975,0.0,11.203504,125.518486,0.0,133.84343
27,3.6094332,0.0,8.590516,73.79697,0.0,132.92213
28,1.2352631,0.0,5.465156,29.86793,0.0,114.013306
29,0.64480364,0.0,2.225925,4.954742,0.0,28.742891
30,0.3679323,0.0,1.3367215,1.7868245,0.0,22.21851
31,0.39206186,0.0,1.5134891,2.2906494,0.0,18.96556
32,0.20017311,0.0,1.2445424,1.5488856,0.0,18.979517
33,0.03801911,0.0,0.47008833,0.22098303,0.0,7.9000006
34,0.0065705203,0.0,0.105961785,0.0112279,0.0,5.2244635
35,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0108752,0.0,7.631364,58.237717,0.0,86.20824
37,1.9074922,0.0,6.503961,42.30151,0.0,62.343163
38,0.024894984,0.0,0.1660279,0.027565267,0.0,2.4008932
39,0.0057497714,0.0,0.06832026,0.004667658,0.0,2.3162453
40,0.048417136,0.0,0.3038132,0.09230246,0.0,2.9000003
41,0.08191559,0.0,0.8139483,0.66251177,0.0,12.576546
42,0.13790146,0.0,1.5001425,2.2504272,0.0,24.300001
43,0.37604338,0.0,1.978901,3.9160495,0.0,27.717108
44,0.00023041818,0.0,0.006097404,3.7178335e-05,0.0,0.26564014
45,0.040130325,0.0,0.66531223,0.44264033,0.0,24.578619
46,0.0072249398,0.0,0.16987093,0.028856132,0.0,8.866123
47,0.16230753,0.0,1.0421188,1.0860116,0.0,9.8
48,0.13919908,0.0,0.68720204,0.47224665,0.0,5.7000003
49,0.29438043,0.0,1.7033415,2.9013722,0.0,16.3
50,0.71387434,0.0,4.315307,18.621874,0.0,41.900005
51,0.588003,0.0,2.3631642,5.5845447,0.0,33.74678
52,1.9798388,0.0,6.079409,36.959217,0.0,68.4193
53,1.6925874,0.0,7.482249,55.984047,0.0,177.64296
54,1.2932773,0.0,8.206042,67.33913,0.0,201.6884
55,0.30224696,0.0,2.2487159,5.056723,0.0,44.124115
56,0.009038501,0.0,0.12505753,0.015639387,0.0,2.1959045
57,0.0038375182,0.0,0.0565455,0.0031973936,0.0,2.3020864
58,0.026669228,0.0,0.34674117,0.120229445,0.0,7.889429
59,0.011479165,0.0,0.15371844,0.02362936,0.0,3.9678004
60,0.24024953,0.0,1.0834408,1.173844,0.0,10.244086
61,0.84968907,0.0,3.4853585,12.147724,0.0,27.6
62,0.67281526,0.0,3.3805666,11.42823,0.0,32.312244
63,0.57739806,0.0,3.6611207,13.403804,0.0,60.166523
64,0.9139472,0.0,5.749764,33.059784,0.0,95.580025
65,0.9858802,0.0,5.117788,26.191753,0.0,120.59322
66,0.6818338,0.0,4.088907,16.71916,0.0,136.51276
67,1.6473043,0.0,4.952672,24.528961,0.0,79.017975
68,2.240647,0.0,6.164892,38.005898,0.0,80.63609
69,2.2611766,0.0,5.693602,32.417103,0.0,47.300003
70,4.1686015,0.0,8.153202,66.47471,0.0,89.113914
71,1.9603554,0.0,5.8339663,34.035164,0.0,56.32702
72,0.64642996,0.0,4.0863633,16.698364,0.0,54.897625
73,0.17214108,0.0,1.387073,1.9239718,0.0,27.842665
74,0.41987807,0.0,3.043703,9.264129,0.0,131.34843
75,0.83819085,0.0,3.7446358,14.022297,0.0,64.61246
76,0.668784,0.0,2.567951,6.5943723,0.0,36.725746
77,0.9467131,0.0,3.446161,11.876025,0.0,45.4
78,1.4580604,0.0,4.4495807,19.798767,0.0,48.104965
79,0.66526765,0.0,2.926107,8.562101,0.0,49.270428
80,0.6877261,0.0,2.6434867,6.9880223,0.0,38.48148
81,0.4707112,0.0,2.5854678,6.6846433,0.0,24.3
82,0.16583315,0.0,0.96813315,0.93728185,0.0,8.8
83,0.05417736,0.0,0.30827338,0.09503247,0.0,9.05553
84,0.54239136,0.0,2.5655525,6.5820594,0.0,39.98505
85,0.20970319,0.0,1.2539871,1.5724835,0.0,23.120968
