Month,Mean,Median,Std,Variance,Minimum,Maximum,Total Rainfall
January,0.09,0.0,1.04,1.09,0.0,68.45,13765.96
February,0.36,0.0,2.46,6.04,0.0,98.04,50290.48
March,0.61,0.0,3.61,13.06,0.0,186.52,93344.3
April,1.35,0.0,4.8,23.07,0.0,113.37,201427.56
May,2.16,0.0,7.61,57.97,0.0,277.68,332281.06
June,5.32,0.0,13.91,193.43,0.0,332.83,792806.5
July,8.85,1.37,18.05,325.77,0.0,534.25,1.3626309e+06
August,7.44,0.92,16.17,261.51,0.0,364.51,1.145058e+06
September,4.4,0.0,12.43,154.51,0.0,371.06,655084.75
October,1.18,0.0,6.76,45.72,0.0,287.22,182333.19
November,0.68,0.0,4.56,20.83,0.0,223.06,101014.02
December,0.43,0.0,3.64,13.23,0.0,123.93,66863.42
